,entryOwnerText_l
125,"[('battistini', 57), ('bristolani', 51), ('battistiol', 51)]"
126,"[('battistini', 57), ('giovannino', 51), ('battistiol', 51)]"
127,"[('bullo', 100), ('francesconi', 50), ('franceschini', 49)]"
128,"[('battistini', 57), ('bristolani', 51), ('battistiol', 51)]"
129,"[('de lorenzo', 82), ('lorenzon', 73), ('lorenzoni', 70)]"
130,"[('driuzzi', 100), ('francesconi', 64), ('franceschi', 59)]"
131,"[('andriani', 67), ('caregiani', 64), ('andreoleti', 62)]"
132,"[('bortoloto', 67), ('bortoloti', 67), ('bortoli', 64)]"
133,"[('vezzi', 100), ('francesconi', 77), ('francescheti', 74)]"
134,"[('lio', 100), ('fiolo', 71), ('figolino', 71)]"
135,"[('pisani', 100), ('pietropoli', 70), ('tristani', 67)]"
136,"[('battistini', 57), ('bristolani', 51), ('battistiol', 51)]"
137,"[('driuzzi', 100), ('francesconi', 64), ('franceschi', 59)]"
138,"[('pisani', 100), ('cipriani', 67), ('chiaraba', 67)]"
139,"[('pisani', 100), ('cipriani', 67), ('chiaraba', 67)]"
140,"[('pisani', 100), ('cipriani', 67), ('chiaraba', 67)]"
141,"[('bragadin', 100), ('bragadini', 67), ('aldobrandini', 59)]"
142,"[('erizzo', 100), ('bortoloto', 70), ('bortoloti', 70)]"
143,"[('fabriciaci', 62), ('battistella', 59), ('fabricii', 58)]"
144,"[('maruzzi', 100), ('rizzo patarol', 45), ('grattarol dalle navi', 43)]"
145,"[('priante', 58), ('panciera', 56), ('chieregato', 52)]"
146,"[('da', 100), ('sua', 100), ('da fin', 50)]"
147,"[('brunetti', 100), ('filiberto', 52), ('tagliapietra', 47)]"
148,"[('acque', 100), ('acquisti', 48), (""d'albore"", 48)]"
149,"[('novelli', 100), ('novello', 67), ('malipiero', 61)]"
150,"[('francesconi', 77), ('franceschini', 67), ('braccolani', 64)]"
151,"[('franco', 100), ('francovich', 48), ('cosazza', 47)]"
152,"[('giustiniani', 60), ('giustriniani', 58), ('giustinian', 55)]"
153,"[('caliari fantinelli', 48), ('fratello', 44), ('barcelli', 44)]"
154,"[('bortolini', 72), ('bartolini', 64), ('bertolini', 64)]"
155,"[('della', 100), ('della costa', 62), ('nerini illasis', 41)]"
156,"[('di', 100), ('tremignori', 62), ('dottori', 61)]"
157,"[('di', 100), ('tremignori', 62), ('dottori', 61)]"
158,"[('di', 100), ('di zrin', 44), ('di accenti', 43)]"
159,"[('di', 100), ('di zrin', 44), ('di accenti', 43)]"
160,"[('gradenigo', 100), ('di', 100), ('san', 100)]"
161,"[('gradenigo', 100), ('zio', 100), ('di', 100)]"
162,"[('querini', 100), ('bergantini', 34), ('giovannino', 34)]"
163,"[('mocenigo', 100), ('soranzo', 100), ('tommasini-degna', 45)]"
164,"[('zane', 100), ('savioni', 100), ('terza', 100)]"
165,"[('barbarigo', 100), ('barbaran', 47), ('barbaria', 47)]"
166,"[('barbarigo', 100), ('contarini', 100), ('caliari fantinelli', 39)]"
167,"[('foscari', 100), ('foscarino', 69), ('francesconi', 64)]"
168,"[('moro', 100), ('zuanne', 100), ('francesconi', 47)]"
169,"[('moro', 100), ('zuanne', 100), ('francesconi', 47)]"
