,entryTenantText_l
481,"('sartori', 100)"
482,"('torella', 61)"
483,"('girolamo', 61)"
484,"('sanudo (candiano)', 50)"
485,"('cecchini', 100)"
486,"('antonini', 64)"
487,"('nicola', 100)"
488,"('nicola', 100)"
489,"('domenichini', 62)"
490,"('galeotto', 61)"
491,"('spongia', 60)"
492,"('battistiol', 56)"
493,"('domenici', 64)"
494,"('florio', 100)"
495,"('petrogalli', 72)"
496,"('petrogalli', 72)"
497,"('agostini', 64)"
498,"('rossi', 100)"
499,"('bellotto', 64)"
500,"('stechini', 100)"
501,"('francesconi', 58)"
502,"('cominotto', 64)"
503,"('zuanne', 100)"
504,"('antoniassi', 64)"
505,"('amadei', 100)"
506,"('girolamo', 100)"
507,"('giaccometti', 74)"
508,"('marchi', 100)"
509,"('anna', 100)"
510,"('toniato', 61)"
511,"('beccari', 100)"
512,"('fradellini', 64)"
513,"('domenici', 62)"
514,"('piero', 100)"
515,"('antonini', 67)"
516,"('bonfandini gritti', 61)"
517,"('bonfandini gritti', 61)"
518,"('donati', 100)"
519,"('domenichini', 57)"
520,"('antoni', 60)"
521,"('nani', 86)"
522,"('beregan', 52)"
523,"('scarselini', 67)"
524,"('marioni', 57)"
525,"('caresini', 62)"
526,"('maschi', 100)"
527,"('valatelli', 64)"
528,"('battistiol', 56)"
529,"('calegarini', 57)"
530,"('valentini', 67)"
531,"('barbaro', 100)"
532,"('cavalieri', 64)"
533,"('casalari', 67)"
534,"('piero', 100)"
535,"('doglioni', 100)"
536,"('domenici', 64)"
537,"('maffioletti', 72)"
538,"('boncio', 100)"
539,"('antoneti', 64)"
540,"('francesconi', 87)"
541,"('battistini', 64)"
542,"('aragazzi', 59)"
543,"('andreghetti', 67)"
544,"('ceruti', 100)"
545,"('beltramelli', 71)"
546,"('nadalini', 58)"
547,"('santo', 100)"
548,"('facchi', 100)"
549,"('tiepolo', 60)"
550,"('dalla', 100)"
551,"('grillo', 100)"
552,"('sansovino', 58)"
553,"('nani', 86)"
554,"('nani', 86)"
555,"('fratello', 100)"
556,"('valentini', 70)"
557,"('marchesini', 100)"
558,"('antonelli', 56)"
559,"('vicario', 100)"
560,"('bonvecchiato', 64)"
561,"('bortoloto', 78)"
562,"('ferrari', 100)"
563,"('poli', 100)"
564,"('nani', 86)"
565,"('di', 100)"
566,"('santi', 100)"
567,"('de', 100)"
568,"('cardinali', 59)"
569,"('bognolo', 100)"
570,"('amadio', 100)"
571,"('beltrame', 100)"
572,"('amadio', 100)"
573,"('francesconi', 71)"
574,"('casalari', 56)"
575,"('zuanne', 100)"
576,"('cigogna', 100)"
577,"('sanchetta', 61)"
578,"('pinaffo', 71)"
579,"('gasparini', 64)"
580,"('marinello', 67)"
581,"('zuanne', 100)"
582,"('francesconi', 64)"
583,"('maggio', 100)"
584,"('pellegrini', 100)"
585,"('battistiol', 56)"
586,"('galatazzi', 56)"
587,"('semitana', 58)"
588,"('benedetti', 100)"
589,"('capitanachi', 60)"
590,"('panciera', 100)"
591,"('alessandri', 64)"
592,"('sanchetta', 64)"
593,"('polese', 60)"
594,"('berlengo', 61)"
595,"('toniolo', 58)"
596,"('piero', 100)"
597,"('giaccometti', 69)"
598,"('orseti', 63)"
599,"('gregorino', 73)"
600,"('carosi-cattarini', 71)"
601,"('saetta', 55)"
602,"('casalari', 54)"
603,"('antoni', 71)"
604,"('zuanne', 100)"
605,"('zuanne', 100)"
606,"('bianca', 100)"
607,"('ginotto', 58)"
608,"('polo', 100)"
609,"('semenzi', 67)"
610,"('bernardo', 100)"
611,"('bernardo', 100)"
612,"('nicola', 67)"
613,"('zuliani', 100)"
614,"('antoni', 71)"
615,"('bernardo', 100)"
616,"('di', 100)"
617,"('gasparini', 100)"
618,"('de pase', 57)"
619,"('spattafora', 62)"
620,"('marchesati', 100)"
621,"('marchesati', 100)"
622,"('traversi', 100)"
623,"('domenici', 61)"
624,"('olivari', 64)"
625,"('olivari', 64)"
626,"('da mare', 56)"
627,"('lotto', 100)"
628,"('zuanne', 100)"
629,"('gianini', 100)"
630,"('suppies', 53)"
631,"('donati', 100)"
632,"('giovanelli', 100)"
633,"('luchini', 100)"
634,"('luchini', 100)"
635,"('zuanne', 100)"
636,"('baroni', 100)"
637,"('carrara', 100)"
638,"('francesconi', 75)"
639,"('grazioli', 58)"
640,"('nani', 86)"
641,"('fabris', 100)"
642,"('valatelli', 56)"
643,"('rota', 100)"
644,"('marcolin', 70)"
645,"('caminarovik', 59)"
646,"('tronconi', 64)"
647,"('valatelli', 56)"
648,"('valatelli', 56)"
649,"('valatelli', 56)"
650,"('piero', 100)"
651,"('de', 100)"
652,"('zanchi', 100)"
653,"('varotto', 61)"
654,"('de', 100)"
655,"('dalla vigna', 58)"
656,"('battistiol', 59)"
657,"('giacomi', 60)"
658,"('fabris', 100)"
659,"('francesconi', 77)"
660,"('zuanne', 100)"
661,"('zuanne', 100)"
662,"('zuanne', 100)"
663,"('da', 100)"
664,"('marchesati', 100)"
665,"('perini', 100)"
666,"('danieli', 64)"
667,"('zuanne', 100)"
668,"('danieli', 67)"
669,"('marenti', 64)"
670,"('favro', 56)"
671,"('girolamo', 54)"
672,"('palestrina', 72)"
673,"('benvenuti', 100)"
674,"('zuanne', 100)"
675,"('armano', 100)"
676,"('armano', 100)"
677,"('giacomelli', 67)"
678,"('francesconi', 64)"
679,"('antoniassi', 67)"
680,"('pelegrini', 100)"
681,"('benvenuti', 100)"
682,"('beretello', 67)"
683,"('francesconi', 71)"
684,"('michiel', 100)"
685,"('baroncelli', 67)"
686,"('al', 100)"
687,"('antonini', 67)"
688,"('santi', 100)"
689,"('nicola', 100)"
690,"('francesconi', 74)"
691,"('grossato', 100)"
692,"('giovannino', 54)"
693,"('carlo', 100)"
694,"('medici', 100)"
695,"('simonetti', 100)"
696,"('simonetti', 100)"
697,"('simonetti', 100)"
698,"('zuanne', 100)"
699,"('de lorenzo', 82)"
