Names,Names
TREMIGNORI,1
TRENTIN,1
FUMI,1
FUMAGALLI,1
FRUCCO,1
TREVISA,1
BANNONI,1
BANCHIERI,1
TRIFFONI,1
TRIFONI,1
TRITI,1
BALLOTTA,1
TROMBE,1
BALLINI,1
FRITI,1
TRONCONI,1
FASEURI,1
GA,1
GABARDI,1
GAJO,1
TESSARI,1
GALIUTI,1
BARONELLI,1
GALINO,1
FARALONI,1
TIRINKAN,1
GALAZZ,1
TIRRONI,1
GALANTI,1
GALANTE,1
BARETTA,1
BARETINI,1
TOFFETTI,1
TONINETTI,1
BARELLA,1
TOGNOLLA,1
GAFFURO,1
TOGNOLO,1
TOLOMEO,1
BARCELLI,1
RUZINATO,1
TOMADELLI,1
TOMASETI,1
GABRIEL,1
TONCI,1
TONIATO,1
BALLARIN,1
TROVISAN,1
TRUSIS,1
FRANCHINI,1
VECCHIAIA,1
FEDERICO,1
BADIN,1
BADAELI,1
FRANCOVIK,1
BADA,1
VENENZIO,1
VENERIO,1
FRANCOVICH,1
BACCANELLO,1
BA,1
VENTURALI,1
FRANCHI,1
VASTIELLI,1
FEDRIGO,1
FRANCESCHINI,1
FRANCAGNO,1
AZEMAN,1
AZARI,1
FRADELLINI,1
FRACASSO,1
VESCOVI,1
VESPASIANI,1
FERALI,1
VETTIOLI,1
FERAZZINA,1
FRANSINI,1
FEDELLI,1
TURBIN,1
VALLIER,1
TURCHETTO,1
TURTURI,1
FRIGNANI,1
BALDOVINI,1
URBANI,1
USABELLI,1
USSEMPHUMER,1
BALDINI,1
BALDI,1
BAI,1
FAVRETTI,1
VALLAREZZO,1
VALLOTO,1
VARROTTI,1
VALVESSO,1
BAGOLIN,1
VANENTGARDENN,1
VANESI,1
BAGAGIA,1
VANESTRE,1
VANETTI,1
FRATTINI,1
VARISCHI,1
BADOVER,1
VARNIER,1
VARRINI,1
BODIGIONI,1
ROCHI,1
BOEMO,1
NARDUZZI,1
CATTARI,1
LOCATELLII,1
MUZIO,1
MUZZATO,1
ACCERBONI,1
NADALINI,1
NADO,1
LIVIO,1
NAMIAS,1
NANETTI,1
CASTAGNA,1
LIVAN,1
DALFIN,1
CAVALIERA,1
CASAROTO,1
NAVI,1
CASALARI,1
DALLANA,1
NENNI,1
NENO,1
CARTELLI,1
CARRISSIMI,1
NIANIN,1
LIONBUSCA,1
DAMEZZO,1
NODOLI,1
DALEZE,1
LOCATI,1
MONTANARI,1
CERIMAN,1
CHINETTI,1
MORANDI,1
CHINCHIO,1
DADELA,1
MORCELLI,1
MORELLATO,1
MORELLI,1
MORETI,1
LONGINI,1
MORILBATTO,1
CESER,1
MOROLIN,1
CERI,1
MUSANI,1
LOMBARDO,1
CENARIN,1
LOMBARDI,1
CAZZATI,1
MOSINI,1
MOSTA,1
CAVOCO,1
LOGIATO,1
CAVALLINI,1
MUCHIACHION,1
LOCCATELLI,1
CAVALLARO,1
NOMICO,1
NORCI,1
DAMISTRO,1
PANEINFORNI,1
CAPOLINI,1
PADOVANI,1
PADRIN,1
CAPOGROSSO,1
CAPELLANIA,1
LEGRENZI,1
PAGNALIN,1
LECCINI,1
PALAZZI,1
PALMA,1
PAMPANIN,1
PANAGIOTTO,1
DARIGO,1
NORY,1
PANIGAI,1
DARIN,1
LAVORATI,1
PANZIERO,1
PAOLINI,1
LAVEZZI,1
DASMO,1
LAVEZI,1
CANSIAN,1
PAPETE,1
PAPETTA,1
CANONICI,1
CAPON,1
LEONI,1
CAPPELLARI,1
PACHIASSO,1
CARLOTTI,1
DAPAZZE,1
LIARCA,1
NULLO,1
OCCHI,1
CARITA,1
OGLIENI,1
CARISSIMI,1
CARIOTTI,1
LIAN,1
DARDI,1
DARDUIN,1
ONGARO,1
LETTORI,1
ORIGO,1
CARATIN,1
CARATI,1
ORSETI,1
ORSETTI,1
ORTALLI,1
OSELAME,1
OSPITAL,1
OSPITALE,1
OSPIZIO,1
CAPRA,1
LOREDANI,1
MONICI,1
GINI,1
COMIZZIOLI,1
MARCHIDORI,1
CONFURTUNATI,1
CRESCINI,1
MAFEI,1
CONDOLMER,1
MACORA,1
MARENDI,1
MARENTI,1
CONCINA,1
MARINETI,1
COMPAGNON,1
CRIVELLARI,1
MARONI,1
CREPAZ,1
MARSILI,1
MARTELLO,1
COMINOTTO,1
LUVISONI,1
LUPI,1
MARTINUSSI,1
COMICI,1
COMICCIOLI,1
LUNARDA,1
LUGO,1
MASCAROL,1
COMELLO,1
MAGISTRATO,1
CONTO,1
MONFERRA,1
COREGGIO,1
MAMBRIM,1
MANDELLI,1
COTEI,1
CORSO,1
MANETTI,1
COTTONI,1
CORONA,1
COVERA,1
MAISETTE,1
CORER,1
MAINENTI,1
CORENA,1
COREDANO,1
MARCHESANI,1
CORBELLINI,1
MANZATO,1
CORATELLI,1
CRASCINI,1
COPETA,1
MAORIN,1
COOK,1
MAIJ,1
MARCATTI,1
MARCELLINI,1
CREMONA,1
MARCELO,1
MASCOTO,1
MASSARI,1
MASSARIOL,1
CIMAROLI,1
COA,1
MINIA,1
DABEMI,1
DABO,1
CITTELLO,1
MINOTTI,1
CITT,1
MIPRANDI,1
CISCO,1
CIOLA,1
MITRI,1
CINGHIALI,1
MOCCHI,1
LUGIATI,1
CICILIANI,1
MODISTI,1
MODULO,1
MOLARI,1
LORENZONI,1
CIATTO,1
CHRICH,1
LORENZON,1
CHIZZALI,1
CHIURLOTO,1
LORENZI,1
CHIRIBIRI,1
COCALIN,1
MINELI,1
CODEMO,1
COLADARO,1
MATONI,1
MATTEI,1
MATTIUZZI,1
CROMER,1
MAZEL,1
MAZZOCA,1
LUCIANI,1
MAZZOCO,1
LUCIALI,1
COLUSSI,1
MAZZONA,1
MAZZONE,1
LUCCHESE,1
MEDI,1
COLOTI,1
MELCHIORI,1
COLLETTI,1
COLLEDANI,1
MENEGUS,1
CTTA,1
MERLINI,1
LOVISONI,1
MICHELI,1
COLEGIO,1
COLAVELLA,1
PAPPAFAVA,1
DATORTA,1
LAVESI,1
GRADENGO,1
QUONDANSI,1
RADEL,1
RAFAI,1
RAFFETTI,1
RAGONA,1
RAIS,1
DOMINICO,1
BOVICINI,1
RAMPINELLI,1
RANCHIO,1
BOTTI,1
RAVAGNIN,1
RAZZINI,1
BOZZO,1
BOSCO,1
BOSCHETI,1
REDENTI,1
GOTTONI,1
GORGATO,1
BORTOLOTI,1
REMONDINI,1
REMPS,1
BORTOLINI,1
RENSI,1
RESARO,1
RESSONICO,1
QUISELLI,1
PUSSI,1
PARROCCHIALE,1
BRESCIANI,1
POLIZZI,1
POLLI,1
GRISO,1
GRIS,1
DIODATO,1
PONGA,1
GRIONI,1
BRESSAN,1
POSSI,1
BRESSA,1
PPRIVATO,1
PRANDINI,1
DOGLIONI,1
GRASSETTI,1
BRATI,1
BRASUICH,1
PRESCITTO,1
GREGORINO,1
BRANDOLIN,1
PRIORADO,1
GRAZIATO,1
GRASSIANCELI,1
BRAGATINO,1
PROTO,1
PROVEDAN,1
BRAGADINI,1
RESTO,1
BORTOLI,1
REVIZZI,1
DOSI,1
GISETTI,1
ROMBERTI,1
GIROMETTA,1
GIRO,1
BONFERRO,1
RONTA,1
ROSA,1
DORIGO,1
BONDONER,1
BONCOMPAGNI,1
BONAVIDA,1
BONATI,1
GIOVANNINO,1
REZIA,1
ROVELLI,1
ROVI,1
DOSMO,1
BONACINI,1
BONA,1
BOMBA,1
BOLLINI,1
RUBLO,1
RUFFINI,1
GIORDANI,1
BOLIN,1
BOLDRINI,1
ROMANO,1
DORIA,1
DONINI,1
ROELA,1
BORTOLAMIELLO,1
GONDULMER,1
GOLDONI,1
RICEVITORI,1
BORSOTI,1
GLICHI,1
GIVIANI,1
BORIO,1
BORINA,1
GIUSTO,1
RINALDO,1
GIUSTINIANO,1
BORGHESALLO,1
DONADO,1
BORGHESALI,1
GIURODELLI,1
BONOMIO,1
BONINI,1
ROBINI,1
ROCCHETTA,1
ROCCHETTI,1
ROCCHI,1
ROCHETA,1
CORTI,1
GIULLI,1
POLISE,1
POLICI,1
POLICE,1
DELUCIA,1
PAZINI,1
PAZZI,1
PEDONI,1
LACEDELLI,1
PEDRETTI,1
PEDROSIN,1
KROMER,1
PELANDINA,1
PELE,1
PELEGRINI,1
CALIFFE,1
DELASIA,1
IACUR,1
CAFFETIER,1
PERASSO,1
HOFFMAN,1
PERAZZOLO,1
CAJMO,1
CAIMER,1
DEPORTES,1
PERISINOTTO,1
PERLASCA,1
DEPUTEZ,1
PERSEGO,1
GUIZZALLI,1
PERUCHIN,1
PAZIENTI,1
PAVOLI,1
PAVINI,1
CALZAVARA,1
CANESTRARI,1
PASCOLO,1
PASCOTIN,1
PASETI,1
PASETTE,1
DAZZO,1
PASOTTI,1
DECOLLE,1
CAMPI,1
PASQUALIN,1
CAMPEIS,1
LANFRITTO,1
PASSASSI,1
PASSATI,1
PASSERINA,1
CAMOZZO,1
LANFRITO,1
DEFFERARI,1
DEGAN,1
PATELLI,1
LAMA,1
PAVAN,1
PAVANELLO,1
PAVANI,1
LAGHI,1
PERULI,1
PERUZZI,1
BRUSACERAME,1
BULI,1
GRTAROL,1
GROTTO,1
PIGHETTI,1
BUSELLA,1
PINELLI,1
DESSILA,1
BURINELLO,1
GROTA,1
PIO,1
BURCI,1
PIRIAN,1
BULLO,1
BULDU,1
CAFFARI,1
DETTAMANINA,1
PIUCO,1
PIZIOLI,1
BUCELLA,1
BUCCI,1
PIZZORDINI,1
BUCCELLA,1
POCCHINI,1
DIAMANTE,1
PODROIZZER,1
BRUSENGNIN,1
POLESELLO,1
DESSAR,1
PIERI,1
GRUER,1
PICOLI,1
PESENTI,1
DEROCAI,1
PETARO,1
PETENO,1
PETRIS,1
PETRISSELLI,1
CADOGNOLA,1
PETROPOLI,1
GUISETTI,1
PEZ,1
PEZZATO,1
PEZZI,1
PEZZOLI,1
PIACHO,1
CABALUTA,1
DESANDOVIK,1
PIANTONI,1
PIASENTI,1
GUERINI,1
BUSSELLA,1
GUELLACASA,1
PICAZZO,1
PICCIOLI,1
DESERPOS,1
PICERTI,1
PENUTA,1
