Names,Names
ANDRIUZZI,5
LIN,5
CRUCIS,5
CAVALLARI,5
PASCO,5
SUPPIES,5
MUNERATO,5
LUCCATELLI,5
CAVALINI,5
CATTANEO,5
PENSO,5
PELLEGRINI,5
TABOGA,5
LEVI,5
TAN,5
ZAPELLA,5
LEZZE,5
ZAMPIERI,5
CANNAL,5
PIATTI,5
ZENARO,5
TARMA,5
ALPRON,5
LICINI,5
DALLASTA,5
OCCIONI,5
OLIVI,5
TESTA,5
CARETTA,5
FABBRO,5
PAGAN,5
FLORIAN,5
CAPOVILLA,5
GARLATO,5
COSTA,5
MOLENA,5
GAMBILLO,5
VANEST,5
DABALA,5
GARDANI,5
PICARDI,5
CHERUBINI,5
UGHI,5
ANCILLO,5
BACANELLO,5
MONFARDINI,5
CESANA,5
LORIS,5
STELLA,5
CIGOGNA,5
CAPUZZO,5
LANZA,5
GARGADORI,5
STAE,5
GUIZZETI,4
LOTTO,4
LIONI,4
MALANOTI,4
GRANDEZZO,4
LANFRANCHI,4
GROLA,4
MAGRO,4
ZANINI,4
LANTANA,4
GRUATO,4
ZANTODERI,4
DALCQUA,4
ALBINI,4
LUZZO,4
CRESIAFIDA,4
ZANOBRIO,4
ALBERGONI,4
GRISOLDI,4
GROLO,4
DEL,4
SCIPIONI,4
PAOLUZZI,4
SULLAM,4
GALVAN,4
PRODOMO,4
PROCURATIVE,4
PRIOLI,4
STECCHINI,4
POLETI,4
BUFFETTI,4
PITERI,4
PINZONI,4
PINTON,4
BASSI,4
CAOTORTA,4
PERUTA,4
PELLIZZARI,4
FABRO,4
TAGLIA,4
PATELLA,4
PASQUIN,4
TAMOSSI,4
CANALE,4
PARON,4
PAPAFAVA,4
BATTAGGIA,4
GALLIZZI,4
FANELLI,4
REBELIN,4
BERTOTTI,4
FRATERNA,4
SCARELLA,4
BIANCHINI,4
SCOFFA,4
SAVOLDELLO,4
SANTORIO,4
FUSTIGNONI,4
BOLDRIN,4
RUBI,4
BON,4
BONALI,4
BONDUNIER,4
BONETTI,4
FRACASSETTI,4
BONOMO,4
BORGHETTI,4
GALERAN,4
GALIZIOLI,4
SOLI,4
SOLIMBERGO,4
GIURADELLI,4
CASATI,4
CHIZZALLI,4
VOLPI,4
FILIPPI,4
MONTICANO,4
TOMADEI,4
MANTOANI,4
CORBOLIN,4
VENEZIA,4
CICOGNA,4
GIACOMUZZI,4
VENTURINI,4
GHERARDINI,4
MELANZINI,4
COLONDA,4
MEDUN,4
VINCENTI,4
MAZZOLENI,4
VIOLA,4
MASTINI,4
ARCHETTI,4
GIACCHETTI,4
CENTENARI,4
CONTARIN,4
TOMMASINI,4
FABRICA,4
GERARDINI,4
NOVELLO,4
TORRE,4
CAROBOLI,4
TRAPOLIN,4
CARRARO,4
MOSTO,4
CASARETTI,4
ZACALETI,4
TREVISANI,4
BANE,4
GEREMIA,4
GHEDINI,4
CAVALLI,4
GHELTOF,4
